id,name,journal_id/id,account_asset_id,account_depreciation_id,account_prime_cost_id,account_revaluation_reserve_id,account_revaluation_id,account_asset_revaluation_depreciation_id,account_revaluation_profit_id,account_revaluation_expense_id,method,method_time,method_number,method_period,enable_accounts_filter,open_asset
asset_category_1,111 Plėtros darbai,ilgalaikis_turtas.account_journal_depreciation,1110,6307,1118,321,1119,1119,5401,63092,linear,number,0,1,TRUE,TRUE
asset_category_2,112 Prestižas,ilgalaikis_turtas.account_journal_depreciation,1120,6307,1128,321,1129,1129,5401,63092,linear,number,180,1,TRUE,TRUE
asset_category_3,113 Programinė įranga,ilgalaikis_turtas.account_journal_depreciation,1130,6307,1138,321,1139,1139,5401,63092,linear,number,36,1,TRUE,TRUE
asset_category_4,"114 Koncesijos, patentai, licencijos, prekių ženklai ir panašios teisės",ilgalaikis_turtas.account_journal_depreciation,1140,6307,1148,321,1149,1149,5401,63092,linear,number,36,1,TRUE,TRUE
asset_category_5,115 Kitas nematerialusis turtas,ilgalaikis_turtas.account_journal_depreciation,1150,6307,1158,321,1159,1159,5401,63092,linear,number,48,1,TRUE,TRUE
asset_category_13,120 Žemė,ilgalaikis_turtas.account_journal_depreciation,1200,6306,1217,321,1209,1209,5401,63093,linear,number,0,1,TRUE,TRUE
asset_category_6,121 Pastatai ir statiniai (Gyvenamieji namai),ilgalaikis_turtas.account_journal_depreciation,1210,6306,1217,321,1219,1211,5401,63093,linear,number,240,1,TRUE,TRUE
asset_category_14,121 Pastatai ir statiniai (Kiti anksčiau neišvardyti pastatai),ilgalaikis_turtas.account_journal_depreciation,1210,6306,1217,321,1219,1211,5401,63093,linear,number,180,1,TRUE,TRUE
asset_category_7,122 Mašinos ir įranga,ilgalaikis_turtas.account_journal_depreciation,1220,6306,1227,321,1229,1221,5401,63093,linear,number,60,1,TRUE,TRUE
asset_category_18,123 Transporto priemonės (kiti krovininiai),ilgalaikis_turtas.account_journal_depreciation,1230,6306,1237,321,1239,1231,5401,63093,linear,number,48,1,TRUE,TRUE
asset_category_15,123 Transporto priemonės (kiti lengvieji ne senesni kaip 5 metų),ilgalaikis_turtas.account_journal_depreciation,1230,6306,1237,321,1239,1231,5401,63093,linear,number,72,1,TRUE,TRUE
asset_category_16,123 Transporto priemonės (kiti lengvieji),ilgalaikis_turtas.account_journal_depreciation,1230,6306,1237,321,1239,1231,5401,63093,linear,number,120,1,TRUE,TRUE
asset_category_17,123 Transporto priemonės (krovininiai  ne senesni kaip 5 metų),ilgalaikis_turtas.account_journal_depreciation,1230,6306,1237,321,1239,1231,5401,63093,linear,number,48,1,TRUE,TRUE
asset_category_8,"123 Transporto priemonės (trump. nuomai, transporto paslaugoms; ne senesni 5 metų)",ilgalaikis_turtas.account_journal_depreciation,1230,6306,1237,321,1239,1231,5401,63093,linear,number,48,1,TRUE,TRUE
asset_category_9,"124 Įrenginiai (statiniai ir gręžiniai)",ilgalaikis_turtas.account_journal_depreciation,1240,6306,1247,321,1249,1241,5401,63093,linear,number,96,1,TRUE,TRUE
asset_category_19,"124 Kiti įrenginiai, prietaisai ir įrankiai (kiti)",ilgalaikis_turtas.account_journal_depreciation,1240,6306,1247,321,1249,1241,5401,63093,linear,number,48,1,TRUE,TRUE
asset_category_10,129 Kitas materialusis turtas,ilgalaikis_turtas.account_journal_depreciation,1290,6306,1297,321,1299,1291,5401,63093,linear,number,48,1,TRUE,TRUE
asset_category_11,"129 Kitas materialusis turtas (baldai, išskyrus naudojamus viešbučių veiklai)",ilgalaikis_turtas.account_journal_depreciation,1290,6306,1297,321,1299,1291,5401,63093,linear,number,72,1,TRUE,TRUE
asset_category_12,129 Kitas materialusis turtas (Kompiuterinė technika ir ryšių priemonės),ilgalaikis_turtas.account_journal_depreciation,1290,6306,1297,321,1299,1291,5401,63093,linear,number,36,1,TRUE,TRUE
asset_category_20,"129 Kitas materialusis turtas Inventorius, baldai, naudojami viešbučių veikloje)",ilgalaikis_turtas.account_journal_depreciation,1290,6306,1297,321,1299,1291,5401,63093,linear,number,72,1,TRUE,TRUE
asset_category_21,1600 Patronuojančios įmonės akcijos,ilgalaikis_turtas.account_journal_depreciation,16000,6306,1297,322,16009,1291,5401,63094,linear,number,0,1,TRUE,TRUE
asset_category_23,1601 Patronuojamųjų įmonių akcijos,ilgalaikis_turtas.account_journal_depreciation,16010,6306,1297,322,16019,1291,5401,63094,linear,number,0,1,TRUE,TRUE
asset_category_22,1660 Kitų įmonių nuosavybės vertybiniai popieriai,ilgalaikis_turtas.account_journal_depreciation,16600,6306,1297,322,16609,1291,5401,63094,linear,number,0,1,TRUE,TRUE
asset_category_23,1113 Nebaigta Statyba,ilgalaikis_turtas.account_journal_depreciation,1114,6307,1115,321,1116,1116,5401,63092,linear,number,0,1,TRUE,TRUE
