id,sequence,default_code,name,categ_id:id,sale_ok,purchase_ok,can_be_expensed,type,acc_product_type,uom_id
product_template_1,1,,Prekė,product_category_1,TRUE,TRUE,FALSE,product,product,Unit(s)
product_template_2,2,,Paslauga,product_category_2,TRUE,FALSE,FALSE,service,service,Unit(s)
product_template_3,5,,Nuoma,product_category_3,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_4,6,,Turto remontas / eksploatacija,product_category_4,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_5,8,,Elektros energija,product_category_5,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_6,3,,Dujos,product_category_6,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_7,7,,Vanduo,product_category_7,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_8,8,,Ryšių paslaugos,product_category_8,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_9,99,,Degalai,product_category_9,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_10,9,,Transporto paslaugos,product_category_10,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_11,10,,IT paslaugos,product_category_11,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_12,11,,Konsultavimo paslaugos,product_category_12,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_13,12,,Fotografavimo paslauga,product_category_13,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_14,13,,Komunalinės paslaugos,product_category_14,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_15,14,,Draudimas,product_category_15,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_16,100,R25,Reprezentacinės 50% (neatskaitoma),product_category_16,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_17,100,R75,Reprezentacinės 50% (atskaitoma),product_category_16,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_18,15,,Reklama,product_category_17,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_19,16,,Suteikta labdara ir parama,product_category_18,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_20,99,,Dienpinigiai,product_category_19,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_21,99,,Komandiruotė,product_category_20,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_22,17,,Kanceliarinės,product_category_21,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_23,18,,Mokymai,product_category_22,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_24,4,,Kitos administracinės išlaidos,product_category_23,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_25,19,,Neleidžiami atskaitymai,product_category_28,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_26,20,,Suteiktų paslaugų savikaina,product_category_25,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_27,1,,Benzinas,product_category_26,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_28,2,,Dyzelinas,product_category_27,FALSE,TRUE,TRUE,service,service,Unit(s)
product_template_29,21,,Darbuotojų maitinimas,product_category_29,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_30,101,NPVM,Neatskaitomas PVM,product_category_28,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_31,101,,Mažaverčio inventoriaus įsigijimo sąnaudos,product_category_31,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_32,101,,Palūkanos,product_category_32,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_33,101,,Lizingo dengimas,product_category_33,FALSE,TRUE,FALSE,service,service,Unit(s)
product_template_34,102,,Įranga išsimokėtinai,product_category_34,FALSE,TRUE,FALSE,service,service,Unit(s)
