id,name,dayofweek,hour_from,hour_to,calendar_id/id
resource_calendar_attendance_1,pirmadienis,0,8,12,resource_calendar_1
resource_calendar_attendance_2,pirmadienis,0,13,17,resource_calendar_1
resource_calendar_attendance_3,antradienis,1,8,12,resource_calendar_1
resource_calendar_attendance_4,antradienis,1,13,17,resource_calendar_1
resource_calendar_attendance_5,treciadienis,2,8,12,resource_calendar_1
resource_calendar_attendance_7,treciadienis,2,13,17,resource_calendar_1
resource_calendar_attendance_8,ketvirtadienis,3,8,12,resource_calendar_1
resource_calendar_attendance_9,ketvirtadienis,3,13,17,resource_calendar_1
resource_calendar_attendance_10,penktadienis,4,8,12,resource_calendar_1
resource_calendar_attendance_11,penktadienis,4,13,17,resource_calendar_1
resource_calendar_attendance_12,pirmadienis,0,8,12,resource_calendar_2
resource_calendar_attendance_13,antradienis,1,8,12,resource_calendar_2
resource_calendar_attendance_14,treciadienis,2,8,12,resource_calendar_2
resource_calendar_attendance_15,ketvirtadienis,3,8,12,resource_calendar_2
resource_calendar_attendance_16,penktadienis,4,8,12,resource_calendar_2
